GDGT-0,GDGT-1,GDGT-2,GDGT-3,Crenarchaeol,Cren',Sea Surface Temp
0.4591,0.0754,0.0396,0.0064,0.4033,0.0162,12.3
0.6046,0.0831,0.0440,0.0035,0.2553,0.0094,6.5
0.6843,0.0312,0.0113,0.0042,0.2631,0.0059,6.2
0.4385,0.0779,0.0555,0,0.4102,0.018,7.1
0.7312,0.1237,0.0765,0.0057,0.0613,0.0018,7.4
0.4306,0.0924,0.041,0,0.4222,0.0138,5.1
0.6775,0.0381,0.0125,0.0046,0.2617,0.0055,5.6
0.6446,0.0698,0.0299,0.0036,0.2434,0.0086,5.1
,0.0736,0.0462,0.0038,0.4182,0.0134,5.3
0.4305,0.0724,0.0343,0.0039,0.4460,0.0130,5.5
0.6888,0.0205,0.0067,0.0044,0.2758,0.0038,5.9
0.4635,0.0373,0.0127,0.0049,0.4779,0.0037,11.9
0.4689,0.0680,0.0302,0.0031,0.4192,0.0106,5.5
0.6513,0.0659,0.0254,0.0041,0.2463,0.0071,4.8
0.4118,0.0705,0.0414,0.0051,0.4522,0.0189,12.8
0.4892,0.0156,0.0052,0.003,0.4848,0.0021,5.5
0.4852,0.0735,0.0378,0.004,0.3981,0.0013,5.9
0.6548,0.0578,0.0219,0.0030,0.2554,0.0070,5.5
0.2581,0.0707,0.0817,0.0117,0.5350,0.0429,5.5
0.463,0.0649,0.0407,0.0067,0.4089,0.0158,6.2
0.4966,0.0389,0.0141,0.0031,0.4427,0.0046,5.5
0.4359,0.082,0.0535,0,0.4286,0,4.9
0.6607,0.0585,0.0274,0.0035,0.2431,0.0067,6.6
0.7602,0.0296,0.0078,0.0030,0.1958,0.0035,5.8
0.6583,0.0203,0.0073,0.0049,0.3047,0.0044,7
0.6551,0.0701,0.0284,0.0043,0.2335,0.0085,5.6
0.7365,0.0220,0.0066,0.0038,0.2271,0.0039,6.4
0.8165,0.0969,0.0407,0.0039,0.0324,0.0096,4.7
0.4116,0.0678,0.0427,0.0106,0.4525,0.0147,13.4
0.3909,0.0662,0.0486,0.0098,0.4662,0.0184,13.4
0.3757,0.0686,0.0575,0.0089,0.4677,0.0216,13.4
0.6677,0.0668,0.0251,0.0036,0.2306,0.0063,3.8
0.4922,0.0798,0.0409,0.0035,0.3726,0.0109,5.3
0.4461,0.053,0.0288,0.0038,0.4565,0.0117,12.4
